Alcohol,Malic.acid,Ash,Acl,Mg,Phenols,Flavanoids,Nonflavanoid.phenols,Proanth,Color.int,Hue,OD,Proline,Wine
'\'(14.07-inf)\'','\'(1.752-2.764]\'','\'(2.108-2.482]\'','\'(14.48-18.36]\'','\'(88.4-106.8]\'','\'(2.72-3.3]\'','\'(3.184-4.132]\'','\'(-inf-0.236]\'','\'(2.312-2.946]\'','\'(3.624-5.968]\'','\'(1.218-1.464]\'','\'(2.908-3.454]\'','\'(1399.6-inf)\'',1
'\'(14.07-inf)\'','\'(-inf-1.752]\'','\'(2.108-2.482]\'','\'(14.48-18.36]\'','\'(88.4-106.8]\'','\'(2.14-2.72]\'','\'(2.236-3.184]\'','\'(0.236-0.342]\'','\'(1.044-1.678]\'','\'(3.624-5.968]\'','\'(0.972-1.218]\'','\'(2.362-2.908]\'','\'(1119.2-1399.6]\'',1
'\'(13.31-14.07]\'','\'(-inf-1.752]\'','\'(2.108-2.482]\'','\'(14.48-18.36]\'','\'(88.4-106.8]\'','\'(2.14-2.72]\'','\'(2.236-3.184]\'','\'(0.236-0.342]\'','\'(1.678-2.312]\'','\'(3.624-5.968]\'','\'(0.972-1.218]\'','\'(2.362-2.908]\'','\'(1119.2-1399.6]\'',1
'\'(14.07-inf)\'','\'(-inf-1.752]\'','\'(2.108-2.482]\'','\'(-inf-14.48]\'','\'(88.4-106.8]\'','\'(2.72-3.3]\'','\'(3.184-4.132]\'','\'(0.342-0.448]\'','\'(2.312-2.946]\'','\'(3.624-5.968]\'','\'(1.218-1.464]\'','\'(2.362-2.908]\'','\'(1119.2-1399.6]\'',1
'\'(14.07-inf)\'','\'(1.752-2.764]\'','\'(2.108-2.482]\'','\'(-inf-14.48]\'','\'(88.4-106.8]\'','\'(2.72-3.3]\'','\'(3.184-4.132]\'','\'(0.236-0.342]\'','\'(2.946-inf)\'','\'(5.968-8.312]\'','\'(0.972-1.218]\'','\'(2.908-3.454]\'','\'(1399.6-inf)\'',1
'\'(13.31-14.07]\'','\'(1.752-2.764]\'','\'(2.482-2.856]\'','\'(14.48-18.36]\'','\'(106.8-125.2]\'','\'(2.72-3.3]\'','\'(2.236-3.184]\'','\'(0.236-0.342]\'','\'(1.044-1.678]\'','\'(5.968-8.312]\'','\'(1.218-1.464]\'','\'(2.362-2.908]\'','\'(1119.2-1399.6]\'',1
'\'(14.07-inf)\'','\'(1.752-2.764]\'','\'(2.482-2.856]\'','\'(18.36-22.24]\'','\'(106.8-125.2]\'','\'(2.72-3.3]\'','\'(2.236-3.184]\'','\'(0.236-0.342]\'','\'(1.678-2.312]\'','\'(5.968-8.312]\'','\'(0.972-1.218]\'','\'(2.362-2.908]\'','\'(1119.2-1399.6]\'',1
'\'(13.31-14.07]\'','\'(-inf-1.752]\'','\'(2.482-2.856]\'','\'(18.36-22.24]\'','\'(106.8-125.2]\'','\'(2.72-3.3]\'','\'(3.184-4.132]\'','\'(0.342-0.448]\'','\'(1.678-2.312]\'','\'(5.968-8.312]\'','\'(0.972-1.218]\'','\'(2.362-2.908]\'','\'(1119.2-1399.6]\'',1
'\'(14.07-inf)\'','\'(-inf-1.752]\'','\'(2.108-2.482]\'','\'(14.48-18.36]\'','\'(106.8-125.2]\'','\'(2.72-3.3]\'','\'(3.184-4.132]\'','\'(0.236-0.342]\'','\'(1.678-2.312]\'','\'(8.312-10.656]\'','\'(1.218-1.464]\'','\'(2.362-2.908]\'','\'(1399.6-inf)\'',1
'\'(13.31-14.07]\'','\'(2.764-3.776]\'','\'(2.482-2.856]\'','\'(14.48-18.36]\'','\'(106.8-125.2]\'','\'(2.14-2.72]\'','\'(2.236-3.184]\'','\'(-inf-0.236]\'','\'(1.044-1.678]\'','\'(3.624-5.968]\'','\'(0.726-0.972]\'','\'(2.908-3.454]\'','\'(838.8-1119.2]\'',1
'\'(13.31-14.07]\'','\'(-inf-1.752]\'','\'(2.108-2.482]\'','\'(14.48-18.36]\'','\'(125.2-143.6]\'','\'(2.72-3.3]\'','\'(2.236-3.184]\'','\'(0.236-0.342]\'','\'(1.678-2.312]\'','\'(3.624-5.968]\'','\'(0.972-1.218]\'','\'(3.454-inf)\'','\'(558.4-838.8]\'',1
'\'(12.55-13.31]\'','\'(3.776-4.788]\'','\'(2.482-2.856]\'','\'(18.36-22.24]\'','\'(88.4-106.8]\'','\'(2.14-2.72]\'','\'(2.236-3.184]\'','\'(0.236-0.342]\'','\'(1.678-2.312]\'','\'(3.624-5.968]\'','\'(0.972-1.218]\'','\'(3.454-inf)\'','\'(558.4-838.8]\'',1
'\'(13.31-14.07]\'','\'(1.752-2.764]\'','\'(2.108-2.482]\'','\'(14.48-18.36]\'','\'(88.4-106.8]\'','\'(2.14-2.72]\'','\'(2.236-3.184]\'','\'(0.236-0.342]\'','\'(1.678-2.312]\'','\'(3.624-5.968]\'','\'(0.972-1.218]\'','\'(3.454-inf)\'','\'(838.8-1119.2]\'',1
'\'(12.55-13.31]\'','\'(-inf-1.752]\'','\'(2.482-2.856]\'','\'(14.48-18.36]\'','\'(88.4-106.8]\'','\'(2.14-2.72]\'','\'(2.236-3.184]\'','\'(0.236-0.342]\'','\'(1.044-1.678]\'','\'(3.624-5.968]\'','\'(0.972-1.218]\'','\'(3.454-inf)\'','\'(838.8-1119.2]\'',1
'\'(13.31-14.07]\'','\'(1.752-2.764]\'','\'(2.482-2.856]\'','\'(18.36-22.24]\'','\'(88.4-106.8]\'','\'(2.14-2.72]\'','\'(2.236-3.184]\'','\'(0.236-0.342]\'','\'(1.044-1.678]\'','\'(-inf-3.624]\'','\'(0.972-1.218]\'','\'(3.454-inf)\'','\'(838.8-1119.2]\'',1
'\'(12.55-13.31]\'','\'(1.752-2.764]\'','\'(2.856-inf)\'','\'(22.24-26.12]\'','\'(106.8-125.2]\'','\'(2.14-2.72]\'','\'(2.236-3.184]\'','\'(0.448-0.554]\'','\'(1.678-2.312]\'','\'(-inf-3.624]\'','\'(0.972-1.218]\'','\'(2.908-3.454]\'','\'(558.4-838.8]\'',1
'\'(13.31-14.07]\'','\'(1.752-2.764]\'','\'(2.482-2.856]\'','\'(14.48-18.36]\'','\'(88.4-106.8]\'','\'(2.72-3.3]\'','\'(2.236-3.184]\'','\'(0.236-0.342]\'','\'(1.044-1.678]\'','\'(3.624-5.968]\'','\'(0.726-0.972]\'','\'(2.908-3.454]\'','\'(1119.2-1399.6]\'',1
'\'(12.55-13.31]\'','\'(-inf-1.752]\'','\'(2.108-2.482]\'','\'(14.48-18.36]\'','\'(88.4-106.8]\'','\'(2.14-2.72]\'','\'(1.288-2.236]\'','\'(0.236-0.342]\'','\'(1.044-1.678]\'','\'(3.624-5.968]\'','\'(0.972-1.218]\'','\'(2.362-2.908]\'','\'(1119.2-1399.6]\'',1
'\'(13.31-14.07]\'','\'(1.752-2.764]\'','\'(2.482-2.856]\'','\'(18.36-22.24]\'','\'(106.8-125.2]\'','\'(2.72-3.3]\'','\'(2.236-3.184]\'','\'(0.342-0.448]\'','\'(1.678-2.312]\'','\'(3.624-5.968]\'','\'(1.218-1.464]\'','\'(2.908-3.454]\'','\'(838.8-1119.2]\'',1
'\'(13.31-14.07]\'','\'(-inf-1.752]\'','\'(2.108-2.482]\'','\'(14.48-18.36]\'','\'(88.4-106.8]\'','\'(2.14-2.72]\'','\'(2.236-3.184]\'','\'(0.236-0.342]\'','\'(1.678-2.312]\'','\'(3.624-5.968]\'','\'(0.972-1.218]\'','\'(3.454-inf)\'','\'(838.8-1119.2]\'',1
'\'(13.31-14.07]\'','\'(-inf-1.752]\'','\'(2.482-2.856]\'','\'(22.24-26.12]\'','\'(88.4-106.8]\'','\'(2.72-3.3]\'','\'(3.184-4.132]\'','\'(0.236-0.342]\'','\'(2.312-2.946]\'','\'(3.624-5.968]\'','\'(0.972-1.218]\'','\'(2.362-2.908]\'','\'(1119.2-1399.6]\'',1
'\'(13.31-14.07]\'','\'(-inf-1.752]\'','\'(2.108-2.482]\'','\'(18.36-22.24]\'','\'(88.4-106.8]\'','\'(2.72-3.3]\'','\'(3.184-4.132]\'','\'(-inf-0.236]\'','\'(1.678-2.312]\'','\'(5.968-8.312]\'','\'(0.972-1.218]\'','\'(2.362-2.908]\'','\'(1399.6-inf)\'',1
'\'(13.31-14.07]\'','\'(1.752-2.764]\'','\'(2.108-2.482]\'','\'(14.48-18.36]\'','\'(88.4-106.8]\'','\'(2.14-2.72]\'','\'(2.236-3.184]\'','\'(0.342-0.448]\'','\'(1.678-2.312]\'','\'(3.624-5.968]\'','\'(1.218-1.464]\'','\'(2.362-2.908]\'','\'(838.8-1119.2]\'',1
'\'(13.31-14.07]\'','\'(-inf-1.752]\'','\'(2.482-2.856]\'','\'(18.36-22.24]\'','\'(125.2-143.6]\'','\'(2.72-3.3]\'','\'(2.236-3.184]\'','\'(0.448-0.554]\'','\'(1.044-1.678]\'','\'(3.624-5.968]\'','\'(1.218-1.464]\'','\'(2.908-3.454]\'','\'(1119.2-1399.6]\'',1
'\'(13.31-14.07]\'','\'(1.752-2.764]\'','\'(2.482-2.856]\'','\'(18.36-22.24]\'','\'(106.8-125.2]\'','\'(2.14-2.72]\'','\'(2.236-3.184]\'','\'(0.236-0.342]\'','\'(1.044-1.678]\'','\'(3.624-5.968]\'','\'(0.972-1.218]\'','\'(2.362-2.908]\'','\'(838.8-1119.2]\'',1
'\'(13.31-14.07]\'','\'(1.752-2.764]\'','\'(2.108-2.482]\'','\'(18.36-22.24]\'','\'(88.4-106.8]\'','\'(2.14-2.72]\'','\'(2.236-3.184]\'','\'(0.236-0.342]\'','\'(1.678-2.312]\'','\'(3.624-5.968]\'','\'(0.972-1.218]\'','\'(3.454-inf)\'','\'(838.8-1119.2]\'',1
'\'(12.55-13.31]\'','\'(-inf-1.752]\'','\'(2.482-2.856]\'','\'(14.48-18.36]\'','\'(106.8-125.2]\'','\'(2.14-2.72]\'','\'(2.236-3.184]\'','\'(0.236-0.342]\'','\'(1.044-1.678]\'','\'(3.624-5.968]\'','\'(0.972-1.218]\'','\'(2.362-2.908]\'','\'(838.8-1119.2]\'',1
'\'(12.55-13.31]\'','\'(-inf-1.752]\'','\'(2.482-2.856]\'','\'(14.48-18.36]\'','\'(88.4-106.8]\'','\'(2.14-2.72]\'','\'(2.236-3.184]\'','\'(0.236-0.342]\'','\'(1.044-1.678]\'','\'(3.624-5.968]\'','\'(0.972-1.218]\'','\'(2.362-2.908]\'','\'(838.8-1119.2]\'',1
'\'(12.55-13.31]\'','\'(-inf-1.752]\'','\'(1.734-2.108]\'','\'(14.48-18.36]\'','\'(88.4-106.8]\'','\'(2.14-2.72]\'','\'(2.236-3.184]\'','\'(0.236-0.342]\'','\'(1.044-1.678]\'','\'(3.624-5.968]\'','\'(0.972-1.218]\'','\'(2.362-2.908]\'','\'(838.8-1119.2]\'',1
'\'(14.07-inf)\'','\'(3.776-4.788]\'','\'(2.482-2.856]\'','\'(-inf-14.48]\'','\'(125.2-143.6]\'','\'(2.72-3.3]\'','\'(2.236-3.184]\'','\'(-inf-0.236]\'','\'(1.678-2.312]\'','\'(3.624-5.968]\'','\'(0.726-0.972]\'','\'(3.454-inf)\'','\'(558.4-838.8]\'',1
'\'(13.31-14.07]\'','\'(-inf-1.752]\'','\'(2.108-2.482]\'','\'(14.48-18.36]\'','\'(106.8-125.2]\'','\'(2.72-3.3]\'','\'(3.184-4.132]\'','\'(0.236-0.342]\'','\'(2.312-2.946]\'','\'(5.968-8.312]\'','\'(0.726-0.972]\'','\'(2.908-3.454]\'','\'(558.4-838.8]\'',1
'\'(13.31-14.07]\'','\'(3.776-4.788]\'','\'(2.108-2.482]\'','\'(18.36-22.24]\'','\'(88.4-106.8]\'','\'(2.14-2.72]\'','\'(2.236-3.184]\'','\'(0.236-0.342]\'','\'(1.044-1.678]\'','\'(3.624-5.968]\'','\'(0.726-0.972]\'','\'(2.908-3.454]\'','\'(838.8-1119.2]\'',1
'\'(13.31-14.07]\'','\'(1.752-2.764]\'','\'(2.482-2.856]\'','\'(14.48-18.36]\'','\'(88.4-106.8]\'','\'(2.72-3.3]\'','\'(3.184-4.132]\'','\'(-inf-0.236]\'','\'(1.678-2.312]\'','\'(3.624-5.968]\'','\'(0.726-0.972]\'','\'(3.454-inf)\'','\'(838.8-1119.2]\'',1
'\'(12.55-13.31]\'','\'(3.776-4.788]\'','\'(2.108-2.482]\'','\'(14.48-18.36]\'','\'(88.4-106.8]\'','\'(2.14-2.72]\'','\'(2.236-3.184]\'','\'(0.236-0.342]\'','\'(1.044-1.678]\'','\'(3.624-5.968]\'','\'(0.726-0.972]\'','\'(2.908-3.454]\'','\'(558.4-838.8]\'',1
'\'(12.55-13.31]\'','\'(1.752-2.764]\'','\'(1.734-2.108]\'','\'(14.48-18.36]\'','\'(106.8-125.2]\'','\'(2.72-3.3]\'','\'(2.236-3.184]\'','\'(0.236-0.342]\'','\'(1.678-2.312]\'','\'(3.624-5.968]\'','\'(0.726-0.972]\'','\'(2.908-3.454]\'','\'(838.8-1119.2]\'',1
'\'(14.07-inf)\'','\'(3.776-4.788]\'','\'(2.108-2.482]\'','\'(18.36-22.24]\'','\'(106.8-125.2]\'','\'(2.72-3.3]\'','\'(2.236-3.184]\'','\'(0.236-0.342]\'','\'(1.044-1.678]\'','\'(3.624-5.968]\'','\'(0.726-0.972]\'','\'(2.908-3.454]\'','\'(838.8-1119.2]\'',1
'\'(14.07-inf)\'','\'(2.764-3.776]\'','\'(2.108-2.482]\'','\'(14.48-18.36]\'','\'(88.4-106.8]\'','\'(2.72-3.3]\'','\'(2.236-3.184]\'','\'(0.236-0.342]\'','\'(1.678-2.312]\'','\'(3.624-5.968]\'','\'(0.972-1.218]\'','\'(2.908-3.454]\'','\'(838.8-1119.2]\'',1
'\'(13.31-14.07]\'','\'(-inf-1.752]\'','\'(2.108-2.482]\'','\'(14.48-18.36]\'','\'(88.4-106.8]\'','\'(2.72-3.3]\'','\'(3.184-4.132]\'','\'(-inf-0.236]\'','\'(1.678-2.312]\'','\'(5.968-8.312]\'','\'(0.726-0.972]\'','\'(2.908-3.454]\'','\'(838.8-1119.2]\'',1
'\'(14.07-inf)\'','\'(1.752-2.764]\'','\'(2.108-2.482]\'','\'(18.36-22.24]\'','\'(88.4-106.8]\'','\'(2.72-3.3]\'','\'(2.236-3.184]\'','\'(0.236-0.342]\'','\'(2.312-2.946]\'','\'(5.968-8.312]\'','\'(0.972-1.218]\'','\'(2.362-2.908]\'','\'(838.8-1119.2]\'',1
'\'(13.31-14.07]\'','\'(-inf-1.752]\'','\'(2.108-2.482]\'','\'(14.48-18.36]\'','\'(106.8-125.2]\'','\'(2.72-3.3]\'','\'(3.184-4.132]\'','\'(0.236-0.342]\'','\'(1.678-2.312]\'','\'(8.312-10.656]\'','\'(0.972-1.218]\'','\'(2.908-3.454]\'','\'(1119.2-1399.6]\'',1
'\'(12.55-13.31]\'','\'(-inf-1.752]\'','\'(1.734-2.108]\'','\'(-inf-14.48]\'','\'(88.4-106.8]\'','\'(2.72-3.3]\'','\'(3.184-4.132]\'','\'(-inf-0.236]\'','\'(2.312-2.946]\'','\'(5.968-8.312]\'','\'(0.972-1.218]\'','\'(2.908-3.454]\'','\'(1119.2-1399.6]\'',1
'\'(13.31-14.07]\'','\'(-inf-1.752]\'','\'(2.482-2.856]\'','\'(14.48-18.36]\'','\'(88.4-106.8]\'','\'(2.14-2.72]\'','\'(2.236-3.184]\'','\'(-inf-0.236]\'','\'(1.678-2.312]\'','\'(3.624-5.968]\'','\'(1.218-1.464]\'','\'(2.908-3.454]\'','\'(1119.2-1399.6]\'',1
'\'(13.31-14.07]\'','\'(-inf-1.752]\'','\'(2.108-2.482]\'','\'(-inf-14.48]\'','\'(106.8-125.2]\'','\'(3.3-inf)\'','\'(3.184-4.132]\'','\'(0.236-0.342]\'','\'(1.678-2.312]\'','\'(5.968-8.312]\'','\'(0.972-1.218]\'','\'(2.908-3.454]\'','\'(1119.2-1399.6]\'',1
'\'(13.31-14.07]\'','\'(1.752-2.764]\'','\'(2.482-2.856]\'','\'(14.48-18.36]\'','\'(106.8-125.2]\'','\'(2.72-3.3]\'','\'(2.236-3.184]\'','\'(0.342-0.448]\'','\'(1.678-2.312]\'','\'(5.968-8.312]\'','\'(0.972-1.218]\'','\'(2.908-3.454]\'','\'(1119.2-1399.6]\'',1
'\'(13.31-14.07]\'','\'(-inf-1.752]\'','\'(2.108-2.482]\'','\'(14.48-18.36]\'','\'(106.8-125.2]\'','\'(2.14-2.72]\'','\'(2.236-3.184]\'','\'(-inf-0.236]\'','\'(1.044-1.678]\'','\'(3.624-5.968]\'','\'(0.726-0.972]\'','\'(2.908-3.454]\'','\'(838.8-1119.2]\'',1
'\'(13.31-14.07]\'','\'(-inf-1.752]\'','\'(2.108-2.482]\'','\'(18.36-22.24]\'','\'(106.8-125.2]\'','\'(2.72-3.3]\'','\'(2.236-3.184]\'','\'(-inf-0.236]\'','\'(2.312-2.946]\'','\'(5.968-8.312]\'','\'(0.972-1.218]\'','\'(2.908-3.454]\'','\'(1119.2-1399.6]\'',1
'\'(14.07-inf)\'','\'(-inf-1.752]\'','\'(2.108-2.482]\'','\'(14.48-18.36]\'','\'(106.8-125.2]\'','\'(2.72-3.3]\'','\'(2.236-3.184]\'','\'(0.236-0.342]\'','\'(1.678-2.312]\'','\'(5.968-8.312]\'','\'(0.726-0.972]\'','\'(2.908-3.454]\'','\'(838.8-1119.2]\'',1
'\'(12.55-13.31]\'','\'(1.752-2.764]\'','\'(2.482-2.856]\'','\'(14.48-18.36]\'','\'(88.4-106.8]\'','\'(2.72-3.3]\'','\'(3.184-4.132]\'','\'(0.236-0.342]\'','\'(1.044-1.678]\'','\'(5.968-8.312]\'','\'(0.972-1.218]\'','\'(2.362-2.908]\'','\'(1119.2-1399.6]\'',1
'\'(13.31-14.07]\'','\'(-inf-1.752]\'','\'(2.482-2.856]\'','\'(14.48-18.36]\'','\'(106.8-125.2]\'','\'(3.3-inf)\'','\'(3.184-4.132]\'','\'(-inf-0.236]\'','\'(1.678-2.312]\'','\'(5.968-8.312]\'','\'(0.726-0.972]\'','\'(2.362-2.908]\'','\'(1119.2-1399.6]\'',1
'\'(11.79-12.55]\'','\'(-inf-1.752]\'','\'(-inf-1.734]\'','\'(-inf-14.48]\'','\'(-inf-88.4]\'','\'(1.56-2.14]\'','\'(-inf-1.288]\'','\'(0.236-0.342]\'','\'(-inf-1.044]\'','\'(-inf-3.624]\'','\'(0.972-1.218]\'','\'(1.816-2.362]\'','\'(-inf-558.4]\'',2
'\'(11.79-12.55]\'','\'(-inf-1.752]\'','\'(2.108-2.482]\'','\'(14.48-18.36]\'','\'(88.4-106.8]\'','\'(1.56-2.14]\'','\'(-inf-1.288]\'','\'(0.554-inf)\'','\'(-inf-1.044]\'','\'(-inf-3.624]\'','\'(1.218-1.464]\'','\'(-inf-1.816]\'','\'(558.4-838.8]\'',2
'\'(12.55-13.31]\'','\'(-inf-1.752]\'','\'(1.734-2.108]\'','\'(14.48-18.36]\'','\'(88.4-106.8]\'','\'(1.56-2.14]\'','\'(1.288-2.236]\'','\'(0.448-0.554]\'','\'(-inf-1.044]\'','\'(3.624-5.968]\'','\'(0.972-1.218]\'','\'(-inf-1.816]\'','\'(-inf-558.4]\'',2
'\'(13.31-14.07]\'','\'(-inf-1.752]\'','\'(1.734-2.108]\'','\'(14.48-18.36]\'','\'(88.4-106.8]\'','\'(1.56-2.14]\'','\'(1.288-2.236]\'','\'(0.236-0.342]\'','\'(-inf-1.044]\'','\'(3.624-5.968]\'','\'(1.218-1.464]\'','\'(2.362-2.908]\'','\'(558.4-838.8]\'',2
'\'(11.79-12.55]\'','\'(-inf-1.752]\'','\'(2.108-2.482]\'','\'(18.36-22.24]\'','\'(-inf-88.4]\'','\'(3.3-inf)\'','\'(2.236-3.184]\'','\'(-inf-0.236]\'','\'(1.678-2.312]\'','\'(3.624-5.968]\'','\'(1.218-1.464]\'','\'(2.362-2.908]\'','\'(-inf-558.4]\'',2
'\'(11.79-12.55]\'','\'(-inf-1.752]\'','\'(2.482-2.856]\'','\'(18.36-22.24]\'','\'(88.4-106.8]\'','\'(1.56-2.14]\'','\'(1.288-2.236]\'','\'(0.448-0.554]\'','\'(-inf-1.044]\'','\'(-inf-3.624]\'','\'(1.218-1.464]\'','\'(1.816-2.362]\'','\'(-inf-558.4]\'',2
'\'(11.79-12.55]\'','\'(-inf-1.752]\'','\'(2.482-2.856]\'','\'(14.48-18.36]\'','\'(88.4-106.8]\'','\'(2.14-2.72]\'','\'(2.236-3.184]\'','\'(0.342-0.448]\'','\'(1.678-2.312]\'','\'(3.624-5.968]\'','\'(0.972-1.218]\'','\'(1.816-2.362]\'','\'(558.4-838.8]\'',2
'\'(12.55-13.31]\'','\'(-inf-1.752]\'','\'(-inf-1.734]\'','\'(14.48-18.36]\'','\'(-inf-88.4]\'','\'(2.72-3.3]\'','\'(2.236-3.184]\'','\'(0.236-0.342]\'','\'(1.678-2.312]\'','\'(3.624-5.968]\'','\'(0.972-1.218]\'','\'(2.908-3.454]\'','\'(-inf-558.4]\'',2
'\'(11.79-12.55]\'','\'(-inf-1.752]\'','\'(1.734-2.108]\'','\'(18.36-22.24]\'','\'(-inf-88.4]\'','\'(1.56-2.14]\'','\'(1.288-2.236]\'','\'(0.236-0.342]\'','\'(-inf-1.044]\'','\'(3.624-5.968]\'','\'(0.972-1.218]\'','\'(3.454-inf)\'','\'(-inf-558.4]\'',2
'\'(13.31-14.07]\'','\'(-inf-1.752]\'','\'(2.108-2.482]\'','\'(14.48-18.36]\'','\'(106.8-125.2]\'','\'(2.14-2.72]\'','\'(1.288-2.236]\'','\'(0.448-0.554]\'','\'(-inf-1.044]\'','\'(-inf-3.624]\'','\'(0.972-1.218]\'','\'(1.816-2.362]\'','\'(558.4-838.8]\'',2
'\'(11.79-12.55]\'','\'(-inf-1.752]\'','\'(1.734-2.108]\'','\'(14.48-18.36]\'','\'(143.6-inf)\'','\'(1.56-2.14]\'','\'(-inf-1.288]\'','\'(-inf-0.236]\'','\'(2.312-2.946]\'','\'(-inf-3.624]\'','\'(1.218-1.464]\'','\'(2.908-3.454]\'','\'(558.4-838.8]\'',2
'\'(11.79-12.55]\'','\'(-inf-1.752]\'','\'(2.108-2.482]\'','\'(18.36-22.24]\'','\'(88.4-106.8]\'','\'(-inf-1.56]\'','\'(-inf-1.288]\'','\'(0.342-0.448]\'','\'(1.044-1.678]\'','\'(-inf-3.624]\'','\'(0.726-0.972]\'','\'(1.816-2.362]\'','\'(838.8-1119.2]\'',2
'\'(13.31-14.07]\'','\'(-inf-1.752]\'','\'(2.482-2.856]\'','\'(22.24-26.12]\'','\'(-inf-88.4]\'','\'(2.72-3.3]\'','\'(2.236-3.184]\'','\'(-inf-0.236]\'','\'(1.678-2.312]\'','\'(-inf-3.624]\'','\'(1.218-1.464]\'','\'(2.908-3.454]\'','\'(-inf-558.4]\'',2
'\'(13.31-14.07]\'','\'(-inf-1.752]\'','\'(2.108-2.482]\'','\'(22.24-26.12]\'','\'(-inf-88.4]\'','\'(1.56-2.14]\'','\'(1.288-2.236]\'','\'(0.236-0.342]\'','\'(-inf-1.044]\'','\'(3.624-5.968]\'','\'(0.972-1.218]\'','\'(2.362-2.908]\'','\'(-inf-558.4]\'',2
'\'(12.55-13.31]\'','\'(-inf-1.752]\'','\'(2.482-2.856]\'','\'(26.12-inf)\'','\'(125.2-143.6]\'','\'(2.72-3.3]\'','\'(2.236-3.184]\'','\'(-inf-0.236]\'','\'(1.678-2.312]\'','\'(-inf-3.624]\'','\'(1.218-1.464]\'','\'(3.454-inf)\'','\'(838.8-1119.2]\'',2
